airportName,year,pax,movements
BELFAST INTERNATIONAL,2004,3209098,35804
BENBECULA,2004,29711,2387
BIGGIN HILL,2004,0,76
BIRMINGHAM,2004,1331623,28825
BLACKPOOL,2004,148439,4265
BOURNEMOUTH,2004,132719,6500
BRISTOL,2004,1303473,23085
CAMBRIDGE,2004,0,2
CAMPBELTOWN,2004,8398,971
CARDIFF WALES,2004,301417,7768
CITY OF DERRY (EGLINTON),2004,179269,2730
COVENTRY,2004,64340,2252
DONCASTER SHEFFIELD,2004,0,0
DUNDEE,2004,49057,2379
DURHAM TEES VALLEY,2004,198195,4932
EAST MIDLANDS INTERNATIONAL,2004,810501,16649
EDINBURGH,2004,5833470,82625
EXETER,2004,190441,4660
GATWICK,2004,3909581,47660
GLASGOW,2004,4638524,64193
GLOUCESTERSHIRE,2004,0,0
HAWARDEN,2004,0,1511
HEATHROW,2004,6923533,61879
HUMBERSIDE,2004,26398,2330
INVERNESS,2004,506814,14623
ISLAY,2004,21301,1123
ISLE OF MAN,2004,722567,29868
ISLES OF SCILLY (ST.MARYS),2004,140530,12191
KENT INTERNATIONAL,2004,29812,777
KIRKWALL,2004,101804,9223
LANDS END (ST JUST),2004,25073,4649
LEEDS BRADFORD,2004,560090,13852
LERWICK (TINGWALL),2004,2337,564
LIVERPOOL (JOHN LENNON),2004,826902,18378
LONDON CITY,2004,549124,20111
LUTON,2004,1631735,14846
LYDD,2004,0,0
MANCHESTER,2004,3258654,61561
NEWCASTLE,2004,1687396,24698
NEWQUAY,2004,251291,6958
NORWICH,2004,97442,6507
OXFORD (KIDLINGTON),2004,0,0
PLYMOUTH,2004,82827,5064
PRESTWICK,2004,744355,6383
SCATSTA,2004,0,2795
SHOREHAM,2004,0,1002
SOUTHAMPTON,2004,885700,24997
SOUTHEND,2004,195,53
STANSTED,2004,2730660,29805
STORNOWAY,2004,110817,5775
SUMBURGH,2004,101723,4149
TIREE,2004,5610,604
WICK JOHN O GROATS,2004,13691,2175
ABERDEEN,2005,1594250,43410
BARRA,2005,9454,1089
BELFAST CITY (GEORGE BEST),2005,2189799,36203
BELFAST INTERNATIONAL,2005,3428421,37689
BENBECULA,2005,31247,2694
BIGGIN HILL,2005,252,15
BIRMINGHAM,2005,1513868,31257
BLACKPOOL,2005,163139,4686
BOURNEMOUTH,2005,136663,5437
BRISTOL,2005,1400633,25429
CAMBRIDGE,2005,0,5
CAMPBELTOWN,2005,8781,987
CARDIFF WALES,2005,277656,7378
CITY OF DERRY (EGLINTON),2005,147021,2568
COVENTRY,2005,59014,1962
DONCASTER SHEFFIELD,2005,42258,473
DUNDEE,2005,46629,2346
DURHAM TEES VALLEY,2005,221881,5220
EAST MIDLANDS INTERNATIONAL,2005,660348,14581
EDINBURGH,2005,6105235,87536
EXETER,2005,316435,6747
GATWICK,2005,3936645,49664
GLASGOW,2005,4599482,66817
GLOUCESTERSHIRE,2005,0,0
HAWARDEN,2005,0,1508
HEATHROW,2005,6671958,63208
HUMBERSIDE,2005,28990,2061
INVERNESS,2005,582689,16298
ISLAY,2005,21652,1121
ISLE OF MAN,2005,753009,29977
ISLES OF SCILLY (ST.MARYS),2005,132165,11359
KENT INTERNATIONAL,2005,58218,1436
KIRKWALL,2005,103719,8873
LANDS END (ST JUST),2005,23985,4492
LEEDS BRADFORD,2005,618894,16059
LERWICK (TINGWALL),2005,4035,1210
LIVERPOOL (JOHN LENNON),2005,996504,22126
LONDON CITY,2005,579706,19901
LUTON,2005,1603765,14725
LYDD,2005,0,0
MANCHESTER,2005,3374385,67422
NEWCASTLE,2005,1839977,27378
NEWQUAY,2005,317735,7845
NORWICH,2005,190954,7992
OXFORD (KIDLINGTON),2005,0,0
PLYMOUTH,2005,83476,4985
PRESTWICK,2005,635218,5565
SCATSTA,2005,0,2886
SHOREHAM,2005,3521,1136
SOUTHAMPTON,2005,1218226,31626
SOUTHEND,2005,3864,67
STANSTED,2005,2660134,28202
STORNOWAY,2005,115296,6238
SUMBURGH,2005,112970,5116
TIREE,2005,6749,605
WICK JOHN O GROATS,2005,15860,2486
ABERDEEN,2006,1691585,45113
BARRA,2006,9808,1118
BELFAST CITY (GEORGE BEST),2006,2051166,35537
BELFAST INTERNATIONAL,2006,3480556,36875
BENBECULA,2006,33433,2771
BIGGIN HILL,2006,0,0
BIRMINGHAM,2006,1521661,31908
BLACKPOOL,2006,192580,4587
BOURNEMOUTH,2006,106618,4761
BRISTOL,2006,1412497,26186
CAMBRIDGE,2006,167,66
CAMPBELTOWN,2006,8918,962
CARDIFF WALES,2006,361327,6823
CITY OF DERRY (EGLINTON),2006,291268,3197
COVENTRY,2006,60017,1837
DONCASTER SHEFFIELD,2006,63645,746
DUNDEE,2006,49734,2332
DURHAM TEES VALLEY,2006,222288,5596
