Region,Long,Lat
North East,-1.7289,55.297031
North West,-2.77237,54.449451
Yorkshire and The Humber,-1.28712,53.93264
East Midlands,-0.84967,52.795719
West Midlands,-2.20358,52.556969
Eastern,0.504146,52.240669
London,-0.30864,51.492271
South East,-0.99311,51.45097
South West,-3.63343,50.811192
Northern Ireland,-6.85481,54.614941
